latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-41.132,146.045,337.6,1.1,1,2021-03-05,0025,T,91,6.0NRT,294.8,44.1,D
-41.133,146.058,320.2,1.1,1.1,2021-03-05,0025,T,80,6.0NRT,293.3,19,D
-23.451,148.161,329.9,1,1,2021-03-05,0020,T,60,6.0NRT,309.6,11.4,D
-24.641,150.315,321.2,1.1,1.1,2021-03-05,0020,T,55,6.0NRT,302.4,11,D
-26.633,152.472,313.4,1.6,1.2,2021-03-05,0020,T,37,6.0NRT,291.4,16.4,D
-26.386,146.976,339.1,1,1,2021-03-05,0020,T,84,6.0NRT,312.1,23.6,D
-26.387,146.986,330.8,1,1,2021-03-05,0020,T,57,6.0NRT,313.7,11,D
-26.395,146.974,335.5,1,1,2021-03-05,0020,T,72,6.0NRT,311.8,17.5,D
-26.396,146.985,336.3,1,1,2021-03-05,0020,T,81,6.0NRT,312.7,18.6,D
-26.398,146.995,331.2,1,1,2021-03-05,0020,T,68,6.0NRT,312.2,11,D
-26.839,148.321,338,1,1,2021-03-05,0020,T,84,6.0NRT,309.1,25.9,D
-26.84,148.331,330.7,1,1,2021-03-05,0020,T,75,6.0NRT,307.7,15.1,D
-26.849,148.329,326.6,1,1,2021-03-05,0020,T,66,6.0NRT,306.3,9.9,D
-27.926,148.471,331,1,1,2021-03-05,0020,T,75,6.0NRT,312.2,14.1,D
-27.927,148.481,325.9,1,1,2021-03-05,0020,T,62,6.0NRT,311.7,7.5,D
-28.532,150.14,346.7,1.2,1.1,2021-03-05,0020,T,92,6.0NRT,306.8,56,D
-28.533,150.153,330.2,1.2,1.1,2021-03-05,0020,T,79,6.0NRT,307.1,20,D
-28.532,150.134,322.6,1.2,1.1,2021-03-05,0020,T,52,6.0NRT,305.6,8.8,D
-28.533,150.146,342.1,1.2,1.1,2021-03-05,0020,T,89,6.0NRT,307.5,44.2,D
-28.294,148.087,331.6,1,1,2021-03-05,0020,T,75,6.0NRT,310.7,15.7,D
-28.296,148.097,331.6,1,1,2021-03-05,0020,T,75,6.0NRT,310.4,16.6,D
-28.297,148.108,326.7,1,1,2021-03-05,0020,T,65,6.0NRT,309.1,11,D
-30.973,146.885,325,1,1,2021-03-05,0020,T,71,6.0NRT,309,10.1,D
