Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,014618,2020,01,01,25.1
IDCJAC0016,014618,2020,01,02,27.5
IDCJAC0016,014618,2020,01,03,24.7
IDCJAC0016,014618,2020,01,04,26.0
IDCJAC0016,014618,2020,01,05,26.9
IDCJAC0016,014618,2020,01,06,23.7
IDCJAC0016,014618,2020,01,07,25.3
IDCJAC0016,014618,2020,01,08,22.1
IDCJAC0016,014618,2020,01,09,23.1
IDCJAC0016,014618,2020,01,10,22.7
IDCJAC0016,014618,2020,01,11,27.2
IDCJAC0016,014618,2020,01,12,26.3
IDCJAC0016,014618,2020,01,13,24.9
IDCJAC0016,014618,2020,01,14,27.7
IDCJAC0016,014618,2020,01,15,26.1
IDCJAC0016,014618,2020,01,16,27.0
IDCJAC0016,014618,2020,01,17,27.3
IDCJAC0016,014618,2020,01,18,29.0
IDCJAC0016,014618,2020,01,19,27.4
IDCJAC0016,014618,2020,01,20,19.1
IDCJAC0016,014618,2020,01,21,23.3
IDCJAC0016,014618,2020,01,22,10.6
IDCJAC0016,014618,2020,01,23,14.8
IDCJAC0016,014618,2020,01,24,21.3
IDCJAC0016,014618,2020,01,25,17.4
IDCJAC0016,014618,2020,01,26,26.9
IDCJAC0016,014618,2020,01,27,26.2
IDCJAC0016,014618,2020,01,28,27.2
IDCJAC0016,014618,2020,01,29,22.9
IDCJAC0016,014618,2020,01,30,28.0
IDCJAC0016,014618,2020,01,31,21.2
IDCJAC0016,014618,2020,02,01,26.5
IDCJAC0016,014618,2020,02,02,15.2
IDCJAC0016,014618,2020,02,03,23.5
IDCJAC0016,014618,2020,02,04,27.4
IDCJAC0016,014618,2020,02,05,27.3
IDCJAC0016,014618,2020,02,06,19.7
IDCJAC0016,014618,2020,02,07,24.8
IDCJAC0016,014618,2020,02,08,24.8
IDCJAC0016,014618,2020,02,09,28.7
IDCJAC0016,014618,2020,02,10,28.4
IDCJAC0016,014618,2020,02,11,26.5
IDCJAC0016,014618,2020,02,12,26.3
IDCJAC0016,014618,2020,02,13,28.6
IDCJAC0016,014618,2020,02,14,28.6
IDCJAC0016,014618,2020,02,15,28.6
IDCJAC0016,014618,2020,02,16,28.0
IDCJAC0016,014618,2020,02,17,27.2
IDCJAC0016,014618,2020,02,18,26.3
IDCJAC0016,014618,2020,02,19,25.5
IDCJAC0016,014618,2020,02,20,25.8
IDCJAC0016,014618,2020,02,21,27.8
IDCJAC0016,014618,2020,02,22,27.6
IDCJAC0016,014618,2020,02,23,27.3
IDCJAC0016,014618,2020,02,24,22.7
IDCJAC0016,014618,2020,02,25,10.1
IDCJAC0016,014618,2020,02,26,10.4
IDCJAC0016,014618,2020,02,27,8.0
IDCJAC0016,014618,2020,02,28,23.7
IDCJAC0016,014618,2020,02,29,27.1
IDCJAC0016,014618,2020,03,01,26.3
IDCJAC0016,014618,2020,03,02,18.5
IDCJAC0016,014618,2020,03,03,21.0
IDCJAC0016,014618,2020,03,04,24.6
IDCJAC0016,014618,2020,03,05,23.6
IDCJAC0016,014618,2020,03,06,23.7
IDCJAC0016,014618,2020,03,07,26.0
IDCJAC0016,014618,2020,03,08,25.9
IDCJAC0016,014618,2020,03,09,27.0
IDCJAC0016,014618,2020,03,10,26.9
IDCJAC0016,014618,2020,03,11,26.8
IDCJAC0016,014618,2020,03,12,26.7
IDCJAC0016,014618,2020,03,13,26.6
IDCJAC0016,014618,2020,03,14,26.5
IDCJAC0016,014618,2020,03,15,25.4
IDCJAC0016,014618,2020,03,16,26.4
IDCJAC0016,014618,2020,03,17,25.4
IDCJAC0016,014618,2020,03,18,24.9
IDCJAC0016,014618,2020,03,19,24.4
IDCJAC0016,014618,2020,03,20,26.0
IDCJAC0016,014618,2020,03,21,24.1
IDCJAC0016,014618,2020,03,22,24.9
IDCJAC0016,014618,2020,03,23,24.8
IDCJAC0016,014618,2020,03,24,23.7
IDCJAC0016,014618,2020,03,25,20.5
IDCJAC0016,014618,2020,03,26,23.3
IDCJAC0016,014618,2020,03,27,22.6
IDCJAC0016,014618,2020,03,28,24.9
IDCJAC0016,014618,2020,03,29,24.9
IDCJAC0016,014618,2020,03,30,24.7
IDCJAC0016,014618,2020,03,31,24.7
IDCJAC0016,014618,2020,04,01,23.9
IDCJAC0016,014618,2020,04,02,24.2
IDCJAC0016,014618,2020,04,03,21.3
IDCJAC0016,014618,2020,04,04,22.1
IDCJAC0016,014618,2020,04,05,22.4
IDCJAC0016,014618,2020,04,06,23.2
IDCJAC0016,014618,2020,04,07,20.1
IDCJAC0016,014618,2020,04,08,22.1
IDCJAC0016,014618,2020,04,09,21.5
IDCJAC0016,014618,2020,04,10,12.6
IDCJAC0016,014618,2020,04,11,19.5
IDCJAC0016,014618,2020,04,12,23.4
IDCJAC0016,014618,2020,04,13,22.9
IDCJAC0016,014618,2020,04,14,23.3
IDCJAC0016,014618,2020,04,15,23.2
IDCJAC0016,014618,2020,04,16,23.0
IDCJAC0016,014618,2020,04,17,21.7
IDCJAC0016,014618,2020,04,18,22.8
IDCJAC0016,014618,2020,04,19,22.7
IDCJAC0016,014618,2020,04,20,22.6
IDCJAC0016,014618,2020,04,21,22.5
IDCJAC0016,014618,2020,04,22,22.4
IDCJAC0016,014618,2020,04,23,22.3
IDCJAC0016,014618,2020,04,24,22.1
IDCJAC0016,014618,2020,04,25,22.1
IDCJAC0016,014618,2020,04,26,21.6
IDCJAC0016,014618,2020,04,27,21.5
IDCJAC0016,014618,2020,04,28,21.8
IDCJAC0016,014618,2020,04,29,21.6
IDCJAC0016,014618,2020,04,30,21.4
IDCJAC0016,014618,2020,05,01,21.4
IDCJAC0016,014618,2020,05,02,21.3
IDCJAC0016,014618,2020,05,03,21.2
IDCJAC0016,014618,2020,05,04,20.4
IDCJAC0016,014618,2020,05,05,18.8
IDCJAC0016,014618,2020,05,06,20.8
IDCJAC0016,014618,2020,05,07,20.8
IDCJAC0016,014618,2020,05,08,19.9
IDCJAC0016,014618,2020,05,09,19.5
